ip,ip_num,port,proto,length,is_malicious
10.10.10.182,168430262,22,6,1155,1
192.168.1.47,3232235823,443,6,1048,0
192.168.1.146,3232235922,80,6,798,0
192.168.1.162,3232235938,53,17,383,0
192.168.1.126,3232235902,22,6,283,0
192.168.1.150,3232235926,80,6,975,0
192.168.1.33,3232235809,443,6,392,0
10.10.10.114,168430194,3389,6,957,1
192.168.1.154,3232235930,443,6,557,0
192.168.1.27,3232235803,443,6,1050,0
10.10.10.44,168430124,3389,6,176,1
10.10.10.53,168430133,22,6,651,1
192.168.1.251,3232236027,53,17,255,0
10.10.10.36,168430116,23,6,359,1
192.168.1.128,3232235904,80,6,458,0
192.168.1.33,3232235809,443,6,548,0
10.10.10.133,168430213,5900,6,909,1
10.10.10.156,168430236,23,6,438,1
192.168.1.6,3232235782,22,6,196,0
192.168.1.225,3232236001,53,17,455,0
192.168.1.47,3232235823,443,6,293,0
192.168.1.45,3232235821,53,17,149,0
192.168.1.89,3232235865,22,6,528,0
192.168.1.51,3232235827,22,6,1101,0
10.10.10.108,168430188,5900,6,889,1
192.168.1.216,3232235992,443,6,1206,0
192.168.1.229,3232236005,443,6,760,0
192.168.1.8,3232235784,53,17,980,0
10.10.10.249,168430329,3389,6,876,1
192.168.1.221,3232235997,80,6,1377,0
192.168.1.96,3232235872,53,17,484,0
10.10.10.27,168430107,22,6,1355,1
10.10.10.40,168430120,3389,6,826,1
192.168.1.198,3232235974,80,6,768,0
192.168.1.232,3232236008,53,17,435,0
192.168.1.140,3232235916,443,6,665,0
192.168.1.41,3232235817,22,6,1458,0
10.10.10.50,168430130,3389,6,664,1
192.168.1.130,3232235906,80,6,1005,0
192.168.1.208,3232235984,53,17,789,0
192.168.1.18,3232235794,22,6,171,0
192.168.1.19,3232235795,22,6,133,0
192.168.1.64,3232235840,53,17,1025,0
10.10.10.144,168430224,23,6,995,1
192.168.1.15,3232235791,22,6,864,0
10.10.10.167,168430247,3389,6,347,1
192.168.1.73,3232235849,80,6,1226,0
192.168.1.249,3232236025,443,6,128,0
192.168.1.163,3232235939,443,6,1232,0
192.168.1.113,3232235889,443,6,806,0
192.168.1.65,3232235841,22,6,911,0
10.10.10.117,168430197,5900,6,213,1
192.168.1.148,3232235924,53,17,600,0
192.168.1.95,3232235871,443,6,109,0
192.168.1.15,3232235791,80,6,359,0
192.168.1.204,3232235980,80,6,307,0
10.10.10.124,168430204,22,6,147,1
192.168.1.87,3232235863,443,6,425,0
192.168.1.201,3232235977,22,6,1354,0
192.168.1.230,3232236006,22,6,944,0
192.168.1.136,3232235912,443,6,292,0
10.10.10.209,168430289,5900,6,174,1
192.168.1.160,3232235936,443,6,554,0
192.168.1.79,3232235855,53,17,139,0
192.168.1.35,3232235811,443,6,620,0
192.168.1.70,3232235846,443,6,968,0
192.168.1.146,3232235922,53,17,796,0
192.168.1.27,3232235803,22,6,1438,0
192.168.1.35,3232235811,53,17,1083,0
192.168.1.81,3232235857,53,17,479,0
10.10.10.91,168430171,3389,6,962,1
192.168.1.214,3232235990,22,6,86,0
192.168.1.125,3232235901,443,6,1036,0
192.168.1.217,3232235993,53,17,1285,0
10.10.10.90,168430170,3389,6,384,1
192.168.1.172,3232235948,443,6,225,0
10.10.10.159,168430239,5900,6,1469,1
192.168.1.51,3232235827,53,17,1483,0
192.168.1.29,3232235805,53,17,227,0
192.168.1.37,3232235813,53,17,424,0
10.10.10.185,168430265,22,6,1332,1
10.10.10.40,168430120,23,6,1278,1
192.168.1.183,3232235959,53,17,1144,0
192.168.1.45,3232235821,443,6,481,0
192.168.1.149,3232235925,22,6,248,0
192.168.1.92,3232235868,53,17,1260,0
192.168.1.245,3232236021,443,6,887,0
192.168.1.64,3232235840,53,17,227,0
192.168.1.6,3232235782,53,17,1091,0
192.168.1.215,3232235991,53,17,132,0
192.168.1.113,3232235889,22,6,1047,0
192.168.1.148,3232235924,80,6,1068,0
10.10.10.165,168430245,5900,6,1045,1
10.10.10.29,168430109,23,6,1075,1
10.10.10.161,168430241,3389,6,541,1
10.10.10.177,168430257,23,6,925,1
192.168.1.216,3232235992,53,17,1042,0
192.168.1.23,3232235799,22,6,431,0
192.168.1.60,3232235836,22,6,1051,0
192.168.1.107,3232235883,22,6,1218,0
192.168.1.137,3232235913,443,6,52,0
10.10.10.94,168430174,3389,6,390,1
192.168.1.97,3232235873,53,17,1337,0
192.168.1.203,3232235979,443,6,58,0
192.168.1.188,3232235964,443,6,224,0
192.168.1.24,3232235800,80,6,1030,0
192.168.1.243,3232236019,22,6,979,0
192.168.1.54,3232235830,443,6,1289,0
192.168.1.104,3232235880,22,6,895,0
192.168.1.96,3232235872,443,6,398,0
192.168.1.119,3232235895,80,6,252,0
192.168.1.136,3232235912,443,6,89,0
192.168.1.120,3232235896,443,6,605,0
10.10.10.53,168430133,5900,6,553,1
10.10.10.231,168430311,3389,6,109,1
10.10.10.7,168430087,5900,6,177,1
192.168.1.74,3232235850,22,6,595,0
192.168.1.74,3232235850,443,6,1299,0
10.10.10.122,168430202,5900,6,1377,1
192.168.1.182,3232235958,80,6,288,0
10.10.10.79,168430159,3389,6,663,1
192.168.1.215,3232235991,53,17,569,0
10.10.10.76,168430156,5900,6,1105,1
192.168.1.163,3232235939,53,17,364,0
192.168.1.198,3232235974,22,6,1247,0
192.168.1.240,3232236016,53,17,503,0
192.168.1.136,3232235912,53,17,260,0
192.168.1.8,3232235784,22,6,1150,0
10.10.10.5,168430085,22,6,1229,1
192.168.1.245,3232236021,443,6,1097,0
10.10.10.227,168430307,22,6,1161,1
192.168.1.130,3232235906,80,6,1289,0
10.10.10.33,168430113,3389,6,423,1
10.10.10.208,168430288,5900,6,1452,1
192.168.1.80,3232235856,80,6,1163,0
192.168.1.118,3232235894,80,6,603,0
192.168.1.202,3232235978,80,6,1124,0
192.168.1.212,3232235988,80,6,1241,0
192.168.1.203,3232235979,53,17,619,0
192.168.1.224,3232236000,80,6,872,0
192.168.1.239,3232236015,22,6,1012,0
192.168.1.126,3232235902,53,17,1191,0
192.168.1.79,3232235855,80,6,579,0
192.168.1.51,3232235827,443,6,1423,0
192.168.1.113,3232235889,22,6,379,0
192.168.1.43,3232235819,443,6,243,0
192.168.1.236,3232236012,443,6,1061,0
192.168.1.13,3232235789,80,6,255,0
192.168.1.82,3232235858,22,6,793,0
192.168.1.95,3232235871,443,6,1170,0
192.168.1.94,3232235870,443,6,1348,0
192.168.1.122,3232235898,80,6,754,0
192.168.1.167,3232235943,53,17,892,0
192.168.1.57,3232235833,443,6,205,0
192.168.1.168,3232235944,80,6,674,0
192.168.1.104,3232235880,53,17,1240,0
192.168.1.109,3232235885,22,6,1466,0
192.168.1.116,3232235892,80,6,74,0
10.10.10.148,168430228,23,6,886,1
192.168.1.231,3232236007,22,6,311,0
10.10.10.71,168430151,5900,6,317,1
192.168.1.155,3232235931,443,6,1243,0
192.168.1.135,3232235911,443,6,1100,0
192.168.1.217,3232235993,22,6,272,0
192.168.1.6,3232235782,80,6,859,0
192.168.1.52,3232235828,22,6,357,0
10.10.10.85,168430165,22,6,877,1
192.168.1.249,3232236025,22,6,1415,0
192.168.1.118,3232235894,22,6,1454,0
192.168.1.157,3232235933,443,6,176,0
192.168.1.59,3232235835,53,17,1228,0
192.168.1.25,3232235801,80,6,1412,0
192.168.1.85,3232235861,22,6,922,0
192.168.1.19,3232235795,443,6,992,0
192.168.1.238,3232236014,443,6,160,0
192.168.1.221,3232235997,53,17,131,0
192.168.1.83,3232235859,53,17,937,0
192.168.1.158,3232235934,443,6,653,0
192.168.1.23,3232235799,443,6,950,0
192.168.1.98,3232235874,80,6,809,0
192.168.1.105,3232235881,80,6,269,0
192.168.1.79,3232235855,80,6,261,0
192.168.1.128,3232235904,443,6,40,0
192.168.1.64,3232235840,53,17,710,0
192.168.1.128,3232235904,22,6,487,0
192.168.1.113,3232235889,443,6,578,0
192.168.1.182,3232235958,80,6,298,0
192.168.1.233,3232236009,22,6,1132,0
192.168.1.7,3232235783,53,17,74,0
10.10.10.214,168430294,5900,6,634,1
10.10.10.212,168430292,23,6,355,1
192.168.1.123,3232235899,443,6,972,0
10.10.10.137,168430217,3389,6,979,1
192.168.1.39,3232235815,53,17,1007,0
192.168.1.233,3232236009,22,6,1316,0
10.10.10.193,168430273,23,6,1206,1
192.168.1.87,3232235863,80,6,976,0
192.168.1.24,3232235800,80,6,710,0
192.168.1.118,3232235894,22,6,315,0
10.10.10.211,168430291,3389,6,1163,1
192.168.1.210,3232235986,53,17,547,0
192.168.1.190,3232235966,443,6,610,0
192.168.1.251,3232236027,443,6,133,0
192.168.1.215,3232235991,443,6,480,0
192.168.1.75,3232235851,53,17,343,0
192.168.1.49,3232235825,53,17,1252,0
192.168.1.21,3232235797,80,6,260,0
192.168.1.69,3232235845,80,6,426,0
192.168.1.66,3232235842,443,6,1425,0
192.168.1.144,3232235920,443,6,1453,0
192.168.1.80,3232235856,22,6,184,0
192.168.1.76,3232235852,53,17,963,0
192.168.1.52,3232235828,80,6,1496,0
192.168.1.157,3232235933,80,6,843,0
192.168.1.145,3232235921,22,6,1019,0
10.10.10.148,168430228,22,6,977,1
10.10.10.96,168430176,23,6,851,1
192.168.1.217,3232235993,53,17,854,0
192.168.1.100,3232235876,53,17,817,0
192.168.1.241,3232236017,80,6,1407,0
192.168.1.221,3232235997,443,6,505,0
192.168.1.194,3232235970,443,6,342,0
192.168.1.14,3232235790,443,6,406,0
192.168.1.175,3232235951,443,6,660,0
192.168.1.252,3232236028,80,6,126,0
192.168.1.253,3232236029,80,6,652,0
10.10.10.238,168430318,22,6,1104,1
192.168.1.40,3232235816,22,6,668,0
192.168.1.97,3232235873,53,17,663,0
192.168.1.59,3232235835,443,6,153,0
192.168.1.131,3232235907,53,17,661,0
192.168.1.193,3232235969,22,6,829,0
192.168.1.65,3232235841,443,6,170,0
192.168.1.213,3232235989,22,6,1466,0
192.168.1.58,3232235834,80,6,119,0
192.168.1.165,3232235941,443,6,606,0
192.168.1.34,3232235810,53,17,1448,0
192.168.1.186,3232235962,53,17,1307,0
192.168.1.81,3232235857,22,6,149,0
192.168.1.240,3232236016,80,6,1188,0
10.10.10.137,168430217,23,6,540,1
192.168.1.82,3232235858,22,6,1461,0
192.168.1.132,3232235908,443,6,1453,0
192.168.1.157,3232235933,443,6,496,0
192.168.1.129,3232235905,22,6,902,0
192.168.1.5,3232235781,22,6,46,0
10.10.10.57,168430137,22,6,628,1
192.168.1.234,3232236010,80,6,91,0
10.10.10.79,168430159,3389,6,291,1
192.168.1.82,3232235858,22,6,1360,0
192.168.1.85,3232235861,443,6,1077,0
192.168.1.224,3232236000,22,6,1166,0
10.10.10.44,168430124,22,6,677,1
10.10.10.143,168430223,3389,6,622,1
192.168.1.80,3232235856,80,6,251,0
192.168.1.145,3232235921,80,6,498,0
192.168.1.23,3232235799,443,6,751,0
192.168.1.34,3232235810,22,6,1240,0
192.168.1.91,3232235867,443,6,1025,0
10.10.10.208,168430288,5900,6,641,1
192.168.1.123,3232235899,80,6,1152,0
10.10.10.10,168430090,22,6,369,1
192.168.1.64,3232235840,443,6,918,0
192.168.1.207,3232235983,53,17,191,0
192.168.1.63,3232235839,53,17,1382,0
192.168.1.137,3232235913,53,17,716,0
10.10.10.145,168430225,22,6,887,1
10.10.10.79,168430159,3389,6,732,1
192.168.1.179,3232235955,22,6,149,0
192.168.1.252,3232236028,80,6,800,0
192.168.1.164,3232235940,443,6,1385,0
192.168.1.206,3232235982,80,6,1148,0
192.168.1.35,3232235811,443,6,191,0
192.168.1.74,3232235850,53,17,873,0
192.168.1.42,3232235818,22,6,609,0
192.168.1.23,3232235799,80,6,1099,0
192.168.1.106,3232235882,53,17,1021,0
192.168.1.174,3232235950,80,6,1266,0
192.168.1.246,3232236022,80,6,172,0
